P2ACE,P1NETPOINTWON,GAMEWINNER,P1BREAKPOINTWON,P1ACE,SET_NO,P1FIRSTSRVWON,P1POINTSWON,POINTWINNER,P1FIRSTSRVIN,P2UNFERR,SPEED_KMH,P1DOUBLEFAULT,P2NETPOINT,SERVEINDICATOR,P1FORCEDERROR,SET_WINNER,MATCH_ID,P2BREAKPOINTMISSED,P2NETPOINTWON,P1TURNINGPOINT,P2SCORE,P2DOUBLEFAULT,ELAPSEDTIME,P2SECONDSRVIN,P2FIRSTSRVIN,P2SECONDSRVWON,P2WINNER,P2BREAKPOINTWON,P1SECONDSRVIN,P2TURNINGPOINT,P1WINNER,POINTSERVER,P2POINTSWON,P2GAMESWON,P2MOMENTUM,P2BREAKPOINT,P2FORCEDERROR,HISTORY,P1GAMESWON,P1NETPOINT,P1MOMENTUM,SPEED_MPH,P1BREAKPOINTMISSED,POINTNUMBER,P1UNFERR,P2FIRSTSRVWON,GAMENO,P1SCORE,P1BREAKPOINT,P1SECONDSRVWON,RALLY
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2011-ausopen-1148,0,0,0,0,0,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,2,0,0,152,0,0,2,0,0,2011-ausopen-1148,0,0,0,30,0,0:00:28,1,0,1,1,0,0,0,0,2,2,0,5,0,0,21010,0,1,1,94,0,2,0,0,1,0,0,0,9
0,0,0,0,0,1,0,0,2,0,0,175,0,0,2,0,0,2011-ausopen-1148,0,0,0,40,0,0:01:01,0,1,0,1,0,0,0,0,2,3,0,8,0,0,21010,0,0,1,108,0,3,0,1,1,0,0,0,3
0,0,0,0,0,1,0,0,2,0,0,196,0,0,2,1,0,2011-ausopen-1148,0,0,0,15,0,0:00:00,0,1,0,0,0,0,0,0,2,1,0,2,0,0,11030,0,0,1,121,0,1,0,1,1,0,0,0,1
0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,0,2011-ausopen-1148,0,0,1,40,1,0:01:23,0,0,0,0,0,0,2,0,2,3,0,4,0,0,25000,0,0,2,0,0,4,0,0,1,15,0,0,0
0,0,0,0,0,1,0,11,2,0,0,0,0,0,1,1,0,2011-ausopen-1148,0,0,0,15,0,0:19:48,0,0,0,0,0,1,0,0,1,23,5,51,0,0,11030,0,0,5,0,0,34,0,0,6,30,0,0,6
0,0,0,0,0,1,0,11,2,1,0,197,0,1,1,1,0,2011-ausopen-1148,0,1,0,30,0,0:20:46,0,0,0,0,0,0,4,0,1,24,5,53,0,0,12030,0,0,4,122,0,35,0,0,6,30,0,0,4
0,0,0,0,0,1,0,11,2,1,0,207,0,0,1,0,0,2011-ausopen-1148,0,0,2,40,0,0:21:16,0,0,0,1,0,0,7,0,1,25,5,56,0,0,22010,0,0,4,128,0,36,0,0,6,30,0,0,2
0,0,0,0,0,1,0,12,1,0,1,134,0,0,1,0,0,2011-ausopen-1148,1,0,0,40,0,0:21:40,0,0,0,0,0,1,0,0,1,25,5,54,1,0,22020,0,0,5,83,0,37,0,0,6,40,0,1,1
0,0,0,0,0,1,0,14,2,0,0,197,0,0,2,1,0,2011-ausopen-1148,0,0,0,15,0,0:24:07,0,1,0,0,0,0,0,0,2,26,5,54,0,0,12030,1,0,10,122,0,40,0,1,7,0,0,0,1
0,0,0,0,0,1,0,15,1,0,1,190,0,0,2,0,0,2011-ausopen-1148,0,0,0,15,0,0:24:24,0,1,0,0,0,0,0,0,2,26,5,52,0,0,22020,1,0,11,118,0,41,0,0,7,15,0,0,12
0,0,0,0,0,1,0,15,2,0,0,202,0,0,2,0,0,2011-ausopen-1148,0,0,2,30,0,0:25:04,0,1,0,0,0,0,1,0,2,27,5,53,0,0,12020,1,0,9,125,0,42,1,1,7,15,0,0,9
